EC = effector cells
SC = suppressor cells
CP = immune checkpoints
MHC = MHC molecules 
Category scores	avg weighted zScore 
EC	0.3411192760102255
SC	-0.48676806020822055
CP	0.30885046338573796
MHC	2.4855219374732584
Factor (cell type)	zScore 
Act CD4	0.34974799860347333
Act CD8	0.5804673839790667
Tem CD4	0.10704913669952598
Tem CD8	0.33670942048866787
MDSC	0.6971467644422372
Treg	0.27638935597420355
PDCD1	-0.7465015942248358
CTLA4	-0.8038610232958051
LAG3	-0.4488447324011433
TIGIT	-0.590314552346648
HAVCR2	0.08789360936601912
CD274	-0.7472143941475012
PDCD1LG2	-0.7112808921637142
CD27	0.2860939172742589
ICOS	-0.9362740912827356
IDO1	0.22143877134777162
B2M	3.8391080259115387
TAP1	1.7127419977857583
TAP2	0.8073183783716416
HLA-A	3.1081107405144053
HLA-B	3.6113055565090706
HLA-C	3.1125971870864766
HLA-DPA1	2.1968170040901014
HLA-DPB1	1.9787002277544412
HLA-E	2.4900712781561536
HLA-F	1.9984489785529989
Act CD4 specific factors	zScore 
AIM2	-0.7134192919317108
BIRC3	0.2907480814751928
BRIP1	-0.596729751650638
CCL20	1.8464129479891573
CCL4	0.8860618051225776
CCL5	1.1238015440351479
CCNB1	1.2809948916865106
CCR7	-0.563563590543082
DUSP2	0.41758453830244596
ESCO2	-0.29638940776514583
ETS1	0.8100018604334414
EXO1	-0.1400765776653114
EXOC6	0.10999040696865138
IARS	1.3152931467888882
KIF11	0.46349723920355085
KNTC1	0.05342763663477885
NUF2	0.2673514722488765
PRC1	0.7238369286053407
PSAT1	1.0351627771813254
RGS1	1.4464064031521349
RTKN2	-0.4544632729680365
SAMSN1	-0.0385235533890777
SELL	-0.07378618485741477
TRAT1	-0.7996680825742429
Act CD8 specific factors	zScore 
ADRM1	1.7860346015986632
AHSA1	1.625528830777267
C1GALT1C1	1.3212471226135067
CCT6B	-0.8209262920325627
CD37	0.6415714316482924
CD3D	0.35603216850991465
CD3E	0.3812736716537184
CD3G	-0.6285122423200787
CD69	-0.005986333389755965
CD8A	0.0366978031557462
CETN3	0.9665243375693542
CSE1L	1.5939140577366888
GEMIN6	0.8684095246848014
GNLY	0.6034156710820774
GPT2	0.623080563066204
GZMA	0.4588850044098325
GZMH	0.058962318387240746
GZMK	0.19556832709573352
IL2RB	-0.02858628387897544
LCK	-0.040452306120996234
MPZL1	1.2131950402188518
NKG7	0.5759099799486301
PIK3IP1	0.9780129951464344
PTRH2	1.1465272827460142
TIMM13	1.3939946441326088
ZAP70	-0.2081699349834796
Tem CD4 specific factors	zScore 
ATM	0.03414010931559333
CASP3	0.795033062057465
CASQ1	-1.1386673399125375
CD300E	-0.6935028235042909
DARS	1.3945816558336275
DOCK9	0.9653503141673165
EXOSC9	0.7156606941982946
EZH2	0.45666274582740457
GDE1	1.1796934438535707
IL34	-0.24531938977651968
NCOA4	1.3562162482313345
NEFL	-1.074473417465422
PDGFRL	0.1952328918380086
PTGS1	-0.08351380733143886
REPS1	0.6000193890976122
SCG2	-0.4458677444888342
SDPR	0.36131527381908285
SIGLEC14	-0.5816770944602302
SIGLEC6	-1.0447873971567623
TAL1	-0.7539230993020006
TFEC	-0.6587852743297569
TIPIN	0.02076462841381017
TPK1	-0.2617557174050431
UQCRB	1.2661518815321808
USP9Y	-0.851870194557691
WIPF1	0.4057604454676409
ZCRB1	0.9778872069247874
Tem CD8 specific factors	zScore 
ACAP1	-0.2263672977150591
HLA-DPA1	2.1968170040901014
HLA-DPB1	1.9787002277544412
APOL3	0.6607331707458313
ARHGAP10	-0.12208886196981007
ATP10D	-0.20666047632371723
C3AR1	0.4248802551579639
CCR5	-0.2271639564521559
CD160	-0.9596707005090521
CD55	1.429802357894749
CFLAR	1.0334017420782693
CMKLR1	-0.2351305438231239
DAPP1	-0.7872989074456349
FCRL6	-0.8150561750223758
FLT3LG	-0.04066195315707441
GZMM	-0.4166848770667621
HAPLN3	0.1564901195707749
HLA-DMB	1.1077425810715653
IFI16	1.038517129758575
LIME1	0.1232400996487876
LTK	-0.6864586830920667
NFKBIA	1.5409991458305754
SETD7	0.4838749311103426
SIK1	0.6812785802814856
TRIB2	0.2845005998000653
Treg specific factors	zScore 
CCL3L1	-0.10166924065580264
CD72	-0.040452306120996234
CLEC5A	-0.585786176367361
FOXP3	-0.7054527045607429
ITGA4	-0.09458317083636265
L1CAM	-0.5701465074759344
LIPA	1.2585207294189378
LRP1	1.4428843329460226
LRRC42	0.7750327348156135
MARCO	0.6511313364934541
MMP12	0.10663605439140171
MNDA	0.15498066091101254
MRC1	-0.19697478325690884
MS4A6A	0.8304214817474488
PELO	0.4263897138177263
PLEK	0.381189812839287
PRSS23	1.6106019618085061
PTGIR	-0.23005708555003368
ST8SIA4	-0.44846736773620277
STAB1	0.8635876428550051
Immunophenoscore: 	9
