EC = effector cells
SC = suppressor cells
CP = immune checkpoints
MHC = MHC molecules 
Category scores	avg weighted zScore 
EC	0.3588649082311605
SC	-0.2713424212064892
CP	0.14187502793685056
MHC	2.7640728059238455
Factor (cell type)	zScore 
Act CD4	0.5264225455602002
Act CD8	0.6021558292912382
Tem CD4	0.0026955279932094406
Tem CD8	0.32964994914978907
MDSC	0.4549941051139861
Treg	0.0876907372989923
PDCD1	-0.3710976926382682
CTLA4	-0.5345139689291382
LAG3	-0.17168716400189948
TIGIT	-0.39176179140522294
HAVCR2	-0.4138877862608533
CD274	-0.5671103006360936
PDCD1LG2	-0.7641106762614025
CD27	-0.07848141067255657
ICOS	-0.6969819882976239
IDO1	1.0199557017941927
B2M	3.715217960850766
TAP1	2.3326988787197624
TAP2	1.6054648406613115
HLA-A	3.3096405730060416
HLA-B	3.778751174650505
HLA-C	3.364599963799223
HLA-DPA1	2.5691704487393117
HLA-DPB1	2.068174708079681
HLA-E	2.5911779114796443
HLA-F	2.3058315992522114
Act CD4 specific factors	zScore 
AIM2	0.7744756910119939
BIRC3	0.678267124095101
BRIP1	-0.2908119398764095
CCL20	1.380056268069577
CCL4	0.9681966781140576
CCL5	1.0250525827520076
CCNB1	1.5554047773004476
CCR7	-0.37840717308164606
DUSP2	0.7029613147821885
ESCO2	0.3837543282846212
ETS1	0.46139286380482414
EXO1	0.2300181747430895
EXOC6	0.3366575678062081
IARS	1.440152050525673
KIF11	0.8173052953396781
KNTC1	0.2678694302282572
NUF2	0.7067938531768247
PRC1	1.008695150840881
PSAT1	1.3495540037328864
RGS1	0.4948189203188659
RTKN2	-0.5176033871466207
SAMSN1	-0.12273340038381733
SELL	0.10354440772010237
TRAT1	-0.741273488713984
Act CD8 specific factors	zScore 
ADRM1	2.4004597379651305
AHSA1	1.8129355531379456
C1GALT1C1	1.1561095915665185
CCT6B	-0.7033037011135184
CD37	0.1913371944508357
CD3D	0.4679516408513147
CD3E	0.458113475281579
CD3G	-0.5290614916254291
CD69	-0.32929536664316655
CD8A	0.35017022895018224
CETN3	0.5822165999986056
CSE1L	1.9753640618013317
GEMIN6	1.1899307551315532
GNLY	-0.14185658165189785
GPT2	1.2245816435036743
GZMA	0.501456718775555
GZMH	0.4048925555127681
GZMK	-0.4081587340214491
IL2RB	-0.018030031870566465
LCK	0.16506257555977463
MPZL1	1.0977917908398924
NKG7	0.6358721375235091
PIK3IP1	0.3614702906085935
PTRH2	1.4226883188717647
TIMM13	1.520595846107929
ZAP70	-0.13324324794024184
Tem CD4 specific factors	zScore 
ATM	-0.034545506602090666
CASP3	0.9833292781671047
CASQ1	-1.06115215719824
CD300E	-0.9952878117976405
DARS	1.451807708529978
DOCK9	1.0179011451290272
EXOSC9	0.7980240712512003
EZH2	0.8222046227719965
GDE1	1.3996535777988497
IL34	-0.1865431891192514
NCOA4	1.073216132268103
NEFL	-1.0597297718146639
PDGFRL	-0.8621762463179642
PTGS1	-0.24549316112746658
REPS1	0.7184100004760305
SCG2	-0.8253522691653794
SDPR	-0.5507923794300662
SIGLEC14	-0.839141505245049
SIGLEC6	-1.0771144820583736
TAL1	-0.7093883496988167
TFEC	-0.8706315372092229
TIPIN	0.1592940126152711
TPK1	-0.21665034640494846
UQCRB	1.1569788270787036
USP9Y	-0.9897563130837328
WIPF1	0.22010098776315531
ZCRB1	0.7956139182401406
Tem CD8 specific factors	zScore 
ACAP1	-0.13679921139918239
HLA-DPA1	2.5691704487393117
HLA-DPB1	2.068174708079681
APOL3	0.7695368528745763
ARHGAP10	-0.6076877947731156
ATP10D	-0.23755150940249917
C3AR1	0.0031477060626796884
CCR5	-0.20862967326978235
CD160	-1.0292275074779735
CD55	1.140621395167577
CFLAR	1.3874447699231536
CMKLR1	-0.36453891559177776
DAPP1	-0.333997140549988
FCRL6	-0.8870679905305483
FLT3LG	-0.24197670837362528
GZMM	-0.5291010023305285
HAPLN3	0.14024985275738924
HLA-DMB	1.4552451398736208
IFI16	0.8633747774855085
LIME1	0.4302189174814449
LTK	-0.1533937075409051
NFKBIA	1.30625027094401
SETD7	0.7685885959521922
SIK1	0.26498514875600543
TRIB2	-0.19578869411249697
Treg specific factors	zScore 
CCL3L1	-0.03577033846017016
CD72	-0.4346704171431061
CLEC5A	-0.8756889074619384
FOXP3	-0.5294961093815219
ITGA4	-0.3424129207361474
L1CAM	0.3054046000726302
LIPA	0.9954590646326023
LRP1	0.843777467756236
LRRC42	0.8957735556669676
MARCO	-1.0253949690833375
MMP12	0.9119729447576967
MNDA	0.04929620961870874
MRC1	-0.239843130298261
MS4A6A	0.3827270499520385
PELO	0.2824093697048143
PLEK	0.2631281456163364
PRSS23	1.313125133631295
PTGIR	-0.7832338575294829
ST8SIA4	-0.6038157456733804
STAB1	0.3810676003378662
Immunophenoscore: 	10
