EC = effector cells
SC = suppressor cells
CP = immune checkpoints
MHC = MHC molecules 
Category scores	avg weighted zScore 
EC	0.2293825686429046
SC	-0.28779540858087077
CP	0.4172105004776072
MHC	2.3851235258249135
Factor (cell type)	zScore 
Act CD4	0.39177618390043306
Act CD8	0.4153194504803717
Tem CD4	-0.04044925286486699
Tem CD8	0.17152870811310458
MDSC	0.4387446458617651
Treg	0.13684617129997637
PDCD1	-0.6217995998273929
CTLA4	-0.756226217413302
LAG3	-0.5687879389342301
TIGIT	-0.5666361741009284
HAVCR2	-0.28600691684140367
CD274	-0.7678457475131317
PDCD1LG2	-0.9209340346533128
CD27	0.15600470291575633
ICOS	-0.7432765054165219
IDO1	-0.2711401779931367
B2M	3.8499198307464817
TAP1	1.768693760980006
TAP2	0.9945278969549854
HLA-A	3.2112760282225055
HLA-B	3.4109598047529133
HLA-C	3.151730826835499
HLA-DPA1	1.6255427150699822
HLA-DPB1	1.511381809914079
HLA-E	2.469386636697012
HLA-F	1.8578159480756697
Act CD4 specific factors	zScore 
AIM2	-0.8124068410609637
BIRC3	0.7142116236712138
BRIP1	-0.3162881164955055
CCL20	1.7642337393255259
CCL4	0.15588733392484888
CCL5	0.6591655669356569
CCNB1	1.561537492028496
CCR7	-0.17724498526723984
DUSP2	0.08617015332587041
ESCO2	0.27059596103831973
ETS1	0.6303319181694125
EXO1	0.12732754613738856
EXOC6	0.35161968776137503
IARS	1.2266837609697656
KIF11	0.8092022603122463
KNTC1	0.013557870951176752
NUF2	0.48389454051398234
PRC1	1.0798160303476751
PSAT1	1.1055589623533588
RGS1	0.8534894928812944
RTKN2	-0.2202411589363067
SAMSN1	0.037188161120527495
SELL	-0.19985807751539328
TRAT1	-0.801804508882331
Act CD8 specific factors	zScore 
ADRM1	1.8472527388940063
AHSA1	1.767793932049716
C1GALT1C1	0.9652247722251116
CCT6B	-0.7361952429651105
CD37	0.14473727978864873
CD3D	0.22317888871174177
CD3E	0.32188621006484097
CD3G	-0.6179264231274496
CD69	-0.28182075616570745
CD8A	-0.2519307864812969
CETN3	0.7482486310343515
CSE1L	1.3102113594988447
GEMIN6	0.7180456773741878
GNLY	-0.32387797790751555
GPT2	1.3372062274075402
GZMA	0.049511905165801416
GZMH	-0.6110798986578528
GZMK	-0.15377118708576556
IL2RB	-0.11773890687720248
LCK	0.29747345995610763
MPZL1	1.2819645556871375
NKG7	0.22623048247533345
PIK3IP1	0.5246607033558092
PTRH2	1.0816939342021932
TIMM13	1.5115774248989249
ZAP70	-0.4642512910327315
Tem CD4 specific factors	zScore 
ATM	-0.250991834554038
CASP3	0.955209285001016
CASQ1	-1.0630678826421394
CD300E	-0.7748487639706049
DARS	1.277348042044781
DOCK9	0.6559574811841885
EXOSC9	0.8188265175666505
EZH2	0.8102194582334435
GDE1	1.5367335119500711
IL34	-0.5205492836713005
NCOA4	1.3980816106914968
NEFL	-1.062637529675479
PDGFRL	-0.8749645132145926
PTGS1	-0.35333759462526565
REPS1	0.61123989564848
SCG2	-0.9446425708166019
SDPR	-0.4779834629688939
SIGLEC14	-1.074022321793494
SIGLEC6	-0.9907294612462297
TAL1	-0.9602135236103131
TFEC	-0.9315363668319455
TIPIN	0.24837409875985747
TPK1	-0.11848224381961583
UQCRB	1.1082193261472588
USP9Y	-1.074022321793494
WIPF1	0.09904161932871218
ZCRB1	0.860649001326644
Tem CD8 specific factors	zScore 
ACAP1	-0.3801368475491154
HLA-DPA1	1.6255427150699822
HLA-DPB1	1.511381809914079
APOL3	-0.041801169760133414
ARHGAP10	-0.12689368816797747
ATP10D	-0.28334655304750334
C3AR1	-0.11441345213482706
CCR5	-0.49727110047467193
CD160	-1.003131451285442
CD55	1.31087645044732
CFLAR	0.6302927951724434
CMKLR1	-0.5655016071888237
DAPP1	0.4417590727782361
FCRL6	-0.9900252473007854
FLT3LG	-0.20502231311531757
GZMM	-0.5230140324803553
HAPLN3	0.13354810265547917
HLA-DMB	0.7194932282620454
IFI16	1.0467179749117965
LIME1	0.38452212821240805
LTK	-0.9378742923409435
NFKBIA	1.3735514915918563
SETD7	0.4873764872442344
SIK1	0.26773998225957374
TRIB2	0.02384721915405629
Treg specific factors	zScore 
CCL3L1	0.6879992157019009
CD72	-0.6780193464720237
CLEC5A	-0.6813839242113683
FOXP3	-0.5164804919865117
ITGA4	-0.13170581679517976
L1CAM	-1.0017621463915227
LIPA	1.2253144560758464
LRP1	1.378950465173595
LRRC42	0.915342951089479
MARCO	-0.6622136556964976
MMP12	1.2410810238544034
MNDA	-0.18569555261257048
MRC1	-0.6988327808595974
MS4A6A	0.25310798139312135
PELO	0.5729776046126772
PLEK	0.31871724731034184
PRSS23	1.9216646791292797
PTGIR	-0.7409682485953437
ST8SIA4	-0.6250468085758301
STAB1	0.1438765738553279
Immunophenoscore: 	9
