EC = effector cells
SC = suppressor cells
CP = immune checkpoints
MHC = MHC molecules 
Category scores	avg weighted zScore 
EC	0.3433433574000069
SC	-0.38857178101620293
CP	0.26403912404168633
MHC	2.1539975898880948
Factor (cell type)	zScore 
Act CD4	0.4713203558608498
Act CD8	0.5473977319858144
Tem CD4	0.08668362291245517
Tem CD8	0.28546140255491353
MDSC	0.5090719391674808
Treg	0.2680716228649252
PDCD1	-0.5816069796471656
CTLA4	-0.5592488057507041
LAG3	-0.5438900601760329
TIGIT	-0.1582015612787556
HAVCR2	0.0678599751484363
CD274	-0.5871665255713304
PDCD1LG2	-0.7551128085610295
CD27	0.035742598334735885
ICOS	-0.5792471723843906
IDO1	-0.06652904862993676
B2M	3.923145094790515
TAP1	1.5119020330336692
TAP2	0.863035029237078
HLA-A	2.6754470005148163
HLA-B	3.0487365120992074
HLA-C	2.663527974001139
HLA-DPA1	1.9584655599638885
HLA-DPB1	1.7303641901400602
HLA-E	2.0831753742915575
HLA-F	1.0821771308090145
Act CD4 specific factors	zScore 
AIM2	-0.6524411942636831
BIRC3	0.258084438568062
BRIP1	-0.22135640310793736
CCL20	2.452225232149607
CCL4	0.41615152844071995
CCL5	1.0116228933253686
CCNB1	1.6771285381611871
CCR7	-0.495534009655779
DUSP2	0.5042643318287425
ESCO2	0.42235102209716285
ETS1	0.6433329733993984
EXO1	0.052781206706636837
EXOC6	0.35111684014797157
IARS	1.3348764915922764
KIF11	0.7125673186852209
KNTC1	0.20840849584998497
NUF2	0.4709070562837534
PRC1	1.2253254391729422
PSAT1	1.0741777841555398
RGS1	1.0866167682016927
RTKN2	-0.21151720672416363
SAMSN1	0.03938230106206687
SELL	-0.20335787313761955
TRAT1	-0.8454254322787575
Act CD8 specific factors	zScore 
ADRM1	1.68240810695248
AHSA1	1.8943507965362893
C1GALT1C1	1.2062070006711376
CCT6B	-0.5888463883685601
CD37	0.35147681074737797
CD3D	0.6827297556677606
CD3E	0.6330938096829507
CD3G	-0.09812646791116146
CD69	-0.17148047672352337
CD8A	-0.08432759493391763
CETN3	1.2941598171260909
CSE1L	1.6808082376217854
GEMIN6	0.9783856079801816
GNLY	-0.05181025078754354
GPT2	0.13349461444019545
GZMA	0.5271024665244125
GZMH	-0.37278403525821147
GZMK	-0.18247957837205087
IL2RB	0.11961574799641687
LCK	0.3839541581604848
MPZL1	0.9229101389383353
NKG7	0.1380542420326758
PIK3IP1	0.6692908532899234
PTRH2	1.1320530571934284
TIMM13	1.4780247999562046
ZAP70	-0.12592419753198553
Tem CD4 specific factors	zScore 
ATM	0.07361950473893807
CASP3	1.0079031971315027
CASQ1	-1.1194430518935297
CD300E	-1.0838459592855676
DARS	1.6865677672122872
DOCK9	0.7843214581668881
EXOSC9	0.7723224381866761
EZH2	0.9664665814665045
GDE1	1.4406678510844781
IL34	0.07537936100270247
NCOA4	1.5385798541230071
NEFL	-1.129442235210373
PDGFRL	-0.8049087414789087
PTGS1	-0.20995733412673617
REPS1	0.7700026276571686
SCG2	-0.4046614316723076
SDPR	-0.18271955877165524
SIGLEC14	-0.7517530829665702
SIGLEC6	-1.1291622580775014
TAL1	-0.9946932408325933
TFEC	-0.6166841147226516
TIPIN	0.3611960169313495
TPK1	-0.3993418661477471
UQCRB	1.4649458681777734
USP9Y	-1.1528003274385186
WIPF1	0.4250707999593441
ZCRB1	0.9528276954223301
Tem CD8 specific factors	zScore 
ACAP1	-0.1403230215082398
HLA-DPA1	1.9584655599638885
HLA-DPB1	1.7303641901400602
APOL3	0.25164496451201507
ARHGAP10	-0.5311710989970083
ATP10D	-0.10564585376542746
C3AR1	0.28968185784928674
CCR5	-0.00033445507243444857
CD160	-0.7233953990800026
CD55	1.1998475200816257
CFLAR	1.0710180422274171
CMKLR1	-0.32554789326944406
DAPP1	-0.24759426013133415
FCRL6	-1.0234908887851017
FLT3LG	-0.05277017238596038
GZMM	-0.5131325722934231
HAPLN3	-0.16772078379639035
HLA-DMB	1.0212621060428053
IFI16	1.0231019557731045
LIME1	0.25324483384271
LTK	-0.140443011708042
NFKBIA	1.3502752339002153
SETD7	0.4296704242850921
SIK1	0.58377783756428
TRIB2	-0.05425005151685328
Treg specific factors	zScore 
CCL3L1	-0.9160596632289382
CD72	-0.6116045295976953
CLEC5A	-0.7593124655541036
FOXP3	-0.39666208501883304
ITGA4	0.2241272120240625
L1CAM	-0.47721550581932215
LIPA	1.2000075070146952
LRP1	1.316477994289285
LRRC42	0.8358772473485317
MARCO	-0.7905499142359219
MMP12	1.178969225316057
MNDA	0.1471734972176369
MRC1	-0.014493298649084512
MS4A6A	0.8766339185479847
PELO	0.5761384615102119
PLEK	0.26016426869796555
PRSS23	2.7858379843327654
PTGIR	-0.9119399997023988
ST8SIA4	0.4070722699890263
STAB1	0.4307903328165784
Immunophenoscore: 	8
