EC = effector cells
SC = suppressor cells
CP = immune checkpoints
MHC = MHC molecules 
Category scores	avg weighted zScore 
EC	0.2769089568231745
SC	-0.5305820979465469
CP	0.13084704897838143
MHC	2.3627846259131102
Factor (cell type)	zScore 
Act CD4	0.2726946769928447
Act CD8	0.40086208780413846
Tem CD4	0.10122387199355823
Tem CD8	0.34178330085607406
MDSC	0.6970627912450897
Treg	0.3641014046480041
PDCD1	-0.6580950782743777
CTLA4	-0.7068636572348923
LAG3	-0.5115144782263896
TIGIT	-0.5593799353543021
HAVCR2	0.12887743342178584
CD274	-0.23724030428178808
PDCD1LG2	-0.46486627226415816
CD27	-0.007219100134690714
ICOS	-0.8810483724271977
IDO1	0.8123443298684191
B2M	3.4543683518959796
TAP1	1.7291700546261144
TAP2	1.115675467122828
HLA-A	3.0567591485512353
HLA-B	3.329580474330347
HLA-C	3.0430945225622996
HLA-DPA1	1.8335002593749767
HLA-DPB1	1.7953728115725134
HLA-E	2.571272264277642
HLA-F	1.699052904817165
Act CD4 specific factors	zScore 
AIM2	-0.8135105658152127
BIRC3	0.4323656353427344
BRIP1	-0.35315402818793884
CCL20	1.4432338291909548
CCL4	0.9395667097654139
CCL5	0.731691623600386
CCNB1	0.9696053272410933
CCR7	-0.7602263776916874
DUSP2	0.32870295542666444
ESCO2	-0.26115339976242696
ETS1	0.8396735818462923
EXO1	-0.04389369977166388
EXOC6	0.08010885446127113
IARS	1.349898151099857
KIF11	0.4095519925278719
KNTC1	0.26886131747511505
NUF2	0.4963302207909455
PRC1	0.8160746156987323
PSAT1	0.9921833730561465
RGS1	0.3824583375498082
RTKN2	-0.6306480277966001
SAMSN1	0.058119801145741314
SELL	-0.1742966391660836
TRAT1	-0.9568713401991411
Act CD8 specific factors	zScore 
ADRM1	2.160744492110024
AHSA1	1.9193360996388134
C1GALT1C1	1.1350336872738211
CCT6B	-1.0132575554868215
CD37	0.251623470322405
CD3D	0.04751793615432503
CD3E	0.004246620522692726
CD3G	-0.7449911050373559
CD69	-0.6274674682991752
CD8A	-0.3350130592026267
CETN3	0.44281043566761086
CSE1L	1.5620925155947212
GEMIN6	0.8385741291805154
GNLY	-0.06898478025134891
GPT2	1.0633729331651744
GZMA	-0.027637506784825704
GZMH	-0.26382349909359837
GZMK	-0.40679161181117807
IL2RB	-0.10471699188908518
LCK	-0.2201595217956175
MPZL1	1.2254636690339384
NKG7	0.25558935315252734
PIK3IP1	1.2329635068611995
PTRH2	1.2656722236680502
TIMM13	1.3113780416310448
ZAP70	-0.4811617314176312
Tem CD4 specific factors	zScore 
ATM	0.16610175939164737
CASP3	0.8059046785402997
CASQ1	-1.0356392704687003
CD300E	-0.458937081102292
DARS	1.4287053475360512
DOCK9	0.8598171253299829
EXOSC9	0.5417219094208608
EZH2	0.6703578713167113
GDE1	1.3278698316176922
IL34	-0.33736902920071915
NCOA4	1.17473178174168
NEFL	-1.1830444600160208
PDGFRL	0.17101003022100664
PTGS1	0.04331645632439344
REPS1	0.5552687369098929
SCG2	0.04579022482239055
SDPR	-0.38452769532920406
SIGLEC14	-0.48960395724412936
SIGLEC6	-1.0672092684431398
TAL1	-0.9341362297175485
TFEC	-0.6086197083144352
TIPIN	0.023329977507242115
TPK1	-0.34412280986191773
UQCRB	1.205752053383231
USP9Y	-0.9015845775772372
WIPF1	0.4862780821324176
ZCRB1	0.971882764905916
Tem CD8 specific factors	zScore 
ACAP1	-0.2998698400644136
HLA-DPA1	1.8335002593749767
HLA-DPB1	1.7953728115725134
APOL3	0.48451110463384817
ARHGAP10	-0.1579226476793407
ATP10D	-0.2479207016064741
C3AR1	0.34334923558147284
CCR5	-0.26739672025737204
CD160	-1.0836225260965173
CD55	1.464201962173978
CFLAR	1.2406989416882697
CMKLR1	-0.16232045834244674
DAPP1	-0.502286929067194
FCRL6	-1.0170271074837696
FLT3LG	-0.17021295783605653
GZMM	-0.5834500955014804
HAPLN3	0.7295712506021028
HLA-DMB	0.9388206525993512
IFI16	1.023674838697316
LIME1	1.0957675206389466
LTK	-0.5474430206973001
NFKBIA	1.670427869340341
SETD7	0.6409867786738249
SIK1	0.09522632861569798
TRIB2	0.2279459718415753
Treg specific factors	zScore 
CCL3L1	0.4489359576626514
CD72	-0.22989753112106648
CLEC5A	-0.16989882850297755
FOXP3	-0.6961832599102065
ITGA4	-0.05551648509558681
L1CAM	-0.7245334322205861
LIPA	1.0483339913440175
LRP1	1.4673825216714027
LRRC42	0.7564685747469923
MARCO	0.668237498318428
MMP12	1.3500552157663965
MNDA	0.06962478796975954
MRC1	0.04704674215470658
MS4A6A	0.5286855420980824
PELO	0.32701451026136474
PLEK	0.846545161007395
PRSS23	1.6185572632156713
PTGIR	-0.14308003669135805
ST8SIA4	-0.5249827733821517
STAB1	0.6492326736671487
Immunophenoscore: 	7
