EC = effector cells
SC = suppressor cells
CP = immune checkpoints
MHC = MHC molecules 
Category scores	avg weighted zScore 
EC	0.14831764315846124
SC	-0.047915134920039
CP	0.42892158388010204
MHC	2.3614341551543503
Factor (cell type)	zScore 
Act CD4	0.21853530544672714
Act CD8	0.28064425987794406
Tem CD4	-0.010663449907017224
Tem CD8	0.11498858648418092
MDSC	0.1732827947316112
Treg	-0.07745252489153322
PDCD1	-0.7598298961949801
CTLA4	-0.8598646595538333
LAG3	-0.8019562355955897
TIGIT	-0.960959717999246
HAVCR2	-0.3030058362088921
CD274	-0.830257958290675
PDCD1LG2	-0.9625501606290852
CD27	-0.7498386540331705
ICOS	-0.9270710558095977
IDO1	-0.48770108417148744
B2M	3.7614314752152684
TAP1	1.4345323466001823
TAP2	0.975913941082994
HLA-A	3.417855086589774
HLA-B	3.5472110871500195
HLA-C	3.0558458756902467
HLA-DPA1	1.5934134872630819
HLA-DPB1	1.3163502250290626
HLA-E	2.5428261761165114
HLA-F	1.968961850806367
Act CD4 specific factors	zScore 
AIM2	-0.9798411266560535
BIRC3	-0.013545277578178578
BRIP1	-0.4973660816912788
CCL20	1.476210099618017
CCL4	0.08237064717519389
CCL5	0.2756298169907689
CCNB1	1.4935826268054897
CCR7	-0.9554543396651876
DUSP2	-0.013504496997926389
ESCO2	-0.04335588174259842
ETS1	0.4418514620990794
EXO1	-0.15762306760949876
EXOC6	0.32917471886201805
IARS	1.3916311761747793
KIF11	0.7399982843235297
KNTC1	0.20813795667323856
NUF2	0.5957981525514525
PRC1	1.0622056488968274
PSAT1	1.379111538037328
RGS1	1.0110260206802104
RTKN2	-0.2935039610101099
SAMSN1	-0.3463963735973225
SELL	-0.942608456885718
TRAT1	-0.9986817547326089
Act CD8 specific factors	zScore 
ADRM1	1.886421956375744
AHSA1	1.7363086404670858
C1GALT1C1	1.6008763334492497
CCT6B	-0.6300660898322117
CD37	-0.326658572755217
CD3D	0.25813494806253895
CD3E	-0.00021002783568174304
CD3G	-0.7449857649831487
CD69	-0.4954086138391691
CD8A	-0.7752041749500913
CETN3	0.7895874699103073
CSE1L	1.6544212353204986
GEMIN6	0.8468434045845142
GNLY	-0.3480275968074139
GPT2	0.7398759425827728
GZMA	-0.03609693845769172
GZMH	-0.7229642516469151
GZMK	-0.8658594048509193
IL2RB	-0.475589251836559
LCK	-0.18360029723020396
MPZL1	1.184139583851157
NKG7	-0.4592770197356453
PIK3IP1	0.7513352856336644
PTRH2	1.0834931117885198
TIMM13	1.1193392418302774
ZAP70	-0.290078392268918
Tem CD4 specific factors	zScore 
ATM	0.06157255124652904
CASP3	0.9600910759451077
CASQ1	-1.086482344015777
CD300E	-1.063971463716516
DARS	1.5259624075258036
DOCK9	1.143644467660639
EXOSC9	0.7899952757128299
EZH2	0.4536370497919896
GDE1	1.3027295112247996
IL34	0.10659431184505078
NCOA4	1.4955400946575996
NEFL	-1.0969221725603617
PDGFRL	-0.7066928001262537
PTGS1	-0.6051083747178138
REPS1	0.6639832827332716
SCG2	-0.9278458868343912
SDPR	-0.4736317839844494
SIGLEC14	-0.9669136827160795
SIGLEC6	-1.085911415892245
TAL1	-1.0105489035860238
TFEC	-0.8849039358287358
TIPIN	-0.020192512159300992
TPK1	-0.2899968311084135
UQCRB	1.2201896167941764
USP9Y	-0.9822064003106861
WIPF1	0.2297108836266968
ZCRB1	0.9597648313030894
Tem CD8 specific factors	zScore 
ACAP1	-0.3952107281593068
HLA-DPA1	1.5934134872630819
HLA-DPB1	1.3163502250290626
APOL3	0.11707492096988785
ARHGAP10	-0.0495137493606933
ATP10D	-0.21218748398705503
C3AR1	-0.12508016456817592
CCR5	-0.3934571632084585
CD160	-0.8854340833720157
CD55	1.6206141342913554
CFLAR	1.0825959390229694
CMKLR1	-0.7602784825777553
DAPP1	-0.8829464679766261
FCRL6	-1.0274320638104693
FLT3LG	-0.2643458461297267
GZMM	-0.891510389829606
HAPLN3	-0.3553681012528251
HLA-DMB	0.6584779043992133
IFI16	0.5453117941991247
LIME1	0.833875180064288
LTK	-0.31895104308753525
NFKBIA	1.1137523023357143
SETD7	0.6271176381852067
SIK1	0.07082974296379754
TRIB2	-0.1429828392989288
Treg specific factors	zScore 
CCL3L1	-0.48863903751728993
CD72	-0.3446835892267266
CLEC5A	-0.9571263434555313
FOXP3	-0.8538699142567475
ITGA4	-0.12467235876565311
L1CAM	-0.627945499659093
LIPA	1.3702621521225824
LRP1	0.9907988528750774
LRRC42	0.77017591371022
MARCO	-1.0969221725603617
MMP12	0.411225246329614
MNDA	-0.2842875498730937
MRC1	-0.9231561201053785
MS4A6A	0.45416719733526933
PELO	0.2872930629429222
PLEK	-0.35190175193138096
PRSS23	1.5121377908202793
PTGIR	-0.8710385385429592
ST8SIA4	-0.7181929237573978
STAB1	0.29732508568498406
Immunophenoscore: 	10
