EC = effector cells
SC = suppressor cells
CP = immune checkpoints
MHC = MHC molecules 
Category scores	avg weighted zScore 
EC	0.01197822518007265
SC	0.12925944171581086
CP	0.627776170920497
MHC	1.2589593335533737
Factor (cell type)	zScore 
Act CD4	-0.0373705925479814
Act CD8	-0.06348423316390507
Tem CD4	0.06691713225645744
Tem CD8	0.07850002723424582
MDSC	-0.017935975768193762
Treg	-0.240582907663428
PDCD1	-1.0831340007292622
CTLA4	-1.1768300301674233
LAG3	-0.9588617517106692
TIGIT	-1.1988809767281101
HAVCR2	-0.6022758129040203
CD274	-1.0968646087177942
PDCD1LG2	-0.9746417041751014
CD27	-0.5589526706834884
ICOS	-1.1268670118449742
IDO1	-0.8720925066010514
B2M	2.6733144235959525
TAP1	0.2501695152914606
TAP2	-0.013990987652085769
HLA-A	1.8717748121818345
HLA-B	2.17643036196917
HLA-C	1.6361411843428206
HLA-DPA1	1.6010564069154076
HLA-DPB1	1.0522419562693126
HLA-E	1.5968757441845713
HLA-F	-0.25442008156470663
Act CD4 specific factors	zScore 
AIM2	-1.1305558319015947
BIRC3	-0.6537963330281533
BRIP1	-0.8652476960515444
CCL20	0.6417582577464863
CCL4	-0.6202280705129068
CCL5	-0.4441483931435547
CCNB1	1.1887282983642713
CCR7	-1.0707149732053065
DUSP2	0.027364783871581987
ESCO2	-0.1838406578147009
ETS1	0.09843605029580373
EXO1	-0.019483230847498464
EXOC6	-0.24003368334388672
IARS	1.4405517475628977
KIF11	0.5919591869821094
KNTC1	0.13634892309995886
NUF2	0.45202994616763814
PRC1	0.967235147408969
PSAT1	1.7640202796389983
RGS1	-0.11731893612697793
RTKN2	-0.5866188211081422
SAMSN1	-0.8955370074053506
SELL	-0.24269783116255705
TRAT1	-1.1351053766380934
Act CD8 specific factors	zScore 
ADRM1	1.610688325952139
AHSA1	1.9402229176769046
C1GALT1C1	0.923502136293257
CCT6B	-0.8435246446070014
CD37	-0.16010924878377564
CD3D	-1.016858200378647
CD3E	-0.7901187275650401
CD3G	-1.1357201799808634
CD69	-0.8399587852189349
CD8A	-0.9066854413542481
CETN3	0.5619157969654114
CSE1L	1.5296572453750419
GEMIN6	0.8156246430818661
GNLY	-1.1668702160145477
GPT2	0.676105271162575
GZMA	-1.0398108585087302
GZMH	-1.0612470017266473
GZMK	-1.1570333625302263
IL2RB	-0.9080380087083423
LCK	-0.86266552201191
MPZL1	1.2266001842789085
NKG7	-0.651009224540929
PIK3IP1	0.8955080907524589
PTRH2	0.7782855867309629
TIMM13	0.9601444155223537
ZAP70	-1.0291952541235667
Tem CD4 specific factors	zScore 
ATM	0.2632853199372224
CASP3	0.4922790716743198
CASQ1	-0.8835278487765749
CD300E	-1.1988809767281101
DARS	1.6461829722747316
DOCK9	1.158275039452393
EXOSC9	0.24475924587508388
EZH2	0.6041732800584749
GDE1	1.5284276386895017
IL34	-0.6778966240647407
NCOA4	1.1248707244952185
NEFL	-1.1933067597536615
PDGFRL	0.7658665592070071
PTGS1	1.9796523053932258
REPS1	0.6275358070837384
SCG2	-0.7861429992817935
SDPR	-0.4997266153299703
SIGLEC14	-1.1079310688876556
SIGLEC6	-1.1988809767281101
TAL1	-1.0136612229962427
TFEC	-1.0548120600723203
TIPIN	-0.16666715110665653
TPK1	-0.5503454238847072
UQCRB	1.0306828523828415
USP9Y	-1.1988809767281101
WIPF1	0.33107763520000366
ZCRB1	1.5403548235392415
Tem CD8 specific factors	zScore 
ACAP1	-1.0054228582031237
HLA-DPA1	1.6010564069154076
HLA-DPB1	1.0522419562693126
APOL3	-0.5547310210631338
ARHGAP10	0.2817704071098428
ATP10D	-0.45898564714907275
C3AR1	-0.5101372852675438
CCR5	-1.0964137529330962
CD160	-1.066821218701096
CD55	1.2000406798712409
CFLAR	0.90329559976088
CMKLR1	-0.8840196914507911
DAPP1	-0.9010292506007632
FCRL6	-0.6887991366765303
FLT3LG	-0.7726173257408517
GZMM	-1.1299820154483426
HAPLN3	0.42452774330105636
HLA-DMB	1.3739070652066205
IFI16	1.5988841017709532
LIME1	1.3195174628162272
LTK	-1.1716246951986364
NFKBIA	1.5984332459862556
SETD7	0.10651046753085076
SIK1	0.026627019860257967
TRIB2	0.7162724228902204
Treg specific factors	zScore 
CCL3L1	-1.140392685385916
CD72	-0.49878391687105617
CLEC5A	-0.9270969123342149
FOXP3	-0.9298430339319212
ITGA4	-0.6114978630455716
L1CAM	-0.34123031356384265
LIPA	0.7424220584027079
LRP1	0.6675799981428296
LRRC42	1.187990534352947
MARCO	-0.701996915101328
MMP12	-1.1230962180093178
MNDA	-0.7547060550214832
MRC1	-0.8784864613658603
MS4A6A	0.006379496438363055
PELO	0.08335287495317768
PLEK	-0.622113467430735
PRSS23	2.0017032519539124
PTGIR	-0.7426559095031896
ST8SIA4	-0.27954504483924414
STAB1	0.05035842889118306
Immunophenoscore: 	7
